name,caption
1.png,Покемон типа травы и яда
2.png,Покемон типа травы и яда
3.png,Покемон типа травы и яда
4.png,Покемон огня
5.png,Покемон огня
6.png,Покемон пожарного и летающего типа
7.png,Покемон в воду
8.png,Покемон в воду
9.png,Покемон в воду
10.png,Покемон типа ошибок
11.png,Покемон типа ошибок
12.png,Тип ошибки и Покемон
13.png,Покемон типа ошибок и яда
14.png,Покемон типа ошибок и яда
15.png,Покемон типа ошибок и яда
16.png,Покемон нормального типа и летания
17.png,Покемон нормального типа и летания
18.png,Покемон нормального типа и летания
19.png,Покемон нормального типа
20.png,Покемон нормального типа
21.png,Покемон нормального типа и летания
22.png,Покемон нормального типа и летания
23.png,Покемон яда
24.png,Покемон яда
25.png,Покемон электрического типа
26.png,Покемон электрического типа
27.png,Покемон наземного типа
28.png,Покемон наземного типа
29.png,Покемон яда
30.png,Покемон яда
31.png,Покемон яда и типа земли
32.png,Покемон яда
33.png,Покемон яда
34.png,Покемон яда и типа земли
35.png,Покемон фея
36.png,Покемон фея
37.png,Покемон огня
38.png,Покемон огня
39.png,Покемон нормального типа и фея
40.png,Покемон нормального типа и фея
41.png,Покемон яда и летающий покемон
42.png,Покемон яда и летающий покемон
43.png,Покемон типа травы и яда
44.png,Покемон типа травы и яда
45.png,Покемон типа травы и яда
46.png,Покемон типа ошибок и трава
47.png,Покемон типа ошибок и трава
48.png,Покемон типа ошибок и яда
49.png,Покемон типа ошибок и яда
50.png,Покемон наземного типа
51.png,Покемон наземного типа
52.png,Покемон нормального типа
53.png,Покемон нормального типа
54.png,Покемон в воду
55.png,Покемон в воду
56.png,Покемон боевого типа
57.png,Покемон боевого типа
58.png,Покемон огня
59.png,Покемон огня
60.png,Покемон в воду
61.png,Покемон в воду
62.png,Покемон типа воды и боевой тип
63.png,Покемон психического типа
64.png,Покемон психического типа
65.png,Покемон психического типа
66.png,Покемон боевого типа
67.png,Покемон боевого типа
68.png,Покемон боевого типа
69.png,Покемон типа травы и яда
70.png,Покемон типа травы и яда
71.png,Покемон типа травы и яда
72.png,Покемон типа воды и яда
73.png,Покемон типа воды и яда
74.png,Рок-тип и покемон наземного типа
75.png,Рок-тип и покемон наземного типа
76.png,Рок-тип и покемон наземного типа
77.png,Покемон огня
78.png,Покемон огня
79.png,Покемон типа воды и психического типа
80.png,Покемон типа воды и психического типа
81.png,Покемон электрического типа и стали
82.png,Покемон электрического типа и стали
83.png,Покемон нормального типа и летания
84.png,Покемон нормального типа и летания
85.png,Покемон нормального типа и летания
86.png,Покемон в воду
87.png,Покемон типа воды и ледяной
88.png,Покемон яда
89.png,Покемон яда
90.png,Покемон в воду
91.png,Покемон типа воды и ледяной
92.png,Покемон типа призрака и яда
93.png,Покемон типа призрака и яда
94.png,Покемон типа призрака и яда
95.png,Рок-тип и покемон наземного типа
96.png,Покемон психического типа
97.png,Покемон психического типа
98.png,Покемон в воду
99.png,Покемон в воду
100.png,Покемон электрического типа
101.png,Покемон электрического типа
102.png,Трава и психический тип покемонов
103.png,Трава и психический тип покемонов
104.png,Покемон наземного типа
105.png,Покемон наземного типа
106.png,Покемон боевого типа
107.png,Покемон боевого типа
108.png,Покемон нормального типа
109.png,Покемон яда
110.png,Покемон яда
111.png,Покемон наземного типа и покемона
112.png,Покемон наземного типа и покемона
113.png,Покемон нормального типа
114.png,Покемон трава
115.png,Покемон нормального типа
116.png,Покемон в воду
117.png,Покемон в воду
118.png,Покемон в воду
119.png,Покемон в воду
120.png,Покемон в воду
121.png,Покемон типа воды и психического типа
122.png,Психический тип и фея покемонов
123.png,Тип ошибки и Покемон
124.png,Ледяной и психический тип покемонов
125.png,Покемон электрического типа
126.png,Покемон огня
127.png,Покемон типа ошибок
128.png,Покемон нормального типа
129.png,Покемон в воду
130.png,Покемон типа воды и летания
131.png,Покемон типа воды и ледяной
132.png,Покемон нормального типа
133.png,Покемон нормального типа
134.png,Покемон в воду
135.png,Покемон электрического типа
136.png,Покемон огня
137.png,Покемон нормального типа
138.png,Покемон рок-типа и воды
139.png,Покемон рок-типа и воды
140.png,Покемон рок-типа и воды
141.png,Покемон рок-типа и воды
142.png,Покемон рок-типа и летающий
143.png,Покемон нормального типа
144.png,Покемон ледяного типа и летательный тип
145.png,Покемон электрического типа и летающий
146.png,Покемон пожарного и летающего типа
147.png,Покемон типа дракона
148.png,Покемон типа дракона
149.png,Покемон дракона и полей летающего типа
150.png,Покемон психического типа
151.png,Покемон психического типа
152.png,Покемон трава
153.png,Покемон трава
154.png,Покемон трава
155.png,Покемон огня
156.png,Покемон огня
157.png,Покемон огня
158.png,Покемон в воду
159.png,Покемон в воду
160.png,Покемон в воду
161.png,Покемон нормального типа
162.png,Покемон нормального типа
163.png,Покемон нормального типа и летания
164.png,Покемон нормального типа и летания
165.png,Тип ошибки и Покемон
166.png,Тип ошибки и Покемон
167.png,Покемон типа ошибок и яда
168.png,Покемон типа ошибок и яда
169.png,Покемон яда и летающий покемон
170.png,Покемон воды и электрический тип
171.png,Покемон воды и электрический тип
172.png,Покемон электрического типа
173.png,Покемон фея
174.png,Покемон нормального типа и фея
175.png,Покемон фея
176.png,Покемон фея и летающий тип
177.png,Покемон психического типа и летания
178.png,Покемон психического типа и летания
179.png,Покемон электрического типа
180.png,Покемон электрического типа
181.png,Покемон электрического типа
182.png,Покемон трава
183.png,Покемон типа воды и фея
184.png,Покемон типа воды и фея
185.png,Покемон рок-типа
186.png,Покемон в воду
187.png,Покемон типа трава и летающий
188.png,Покемон типа трава и летающий
189.png,Покемон типа трава и летающий
190.png,Покемон нормального типа
191.png,Покемон трава
192.png,Покемон трава
193.png,Тип ошибки и Покемон
194.png,Покемон типа воды и наземного типа
195.png,Покемон типа воды и наземного типа
196.png,Покемон психического типа
197.png,Покемон темного типа
198.png,Покемон темного типа и летания
199.png,Покемон типа воды и психического типа
200.png,Покемон призрака типа
201.png,Покемон психического типа
202.png,Покемон психического типа
203.png,Покемон обычного типа и психического типа
204.png,Покемон типа ошибок
205.png,Покемон типа ошибок и сталь типа
206.png,Покемон нормального типа
207.png,Покемон наземного типа и летающий
208.png,Покемон из стали и наземного типа
209.png,Покемон фея
210.png,Покемон фея
211.png,Покемон типа воды и яда
212.png,Покемон типа ошибок и сталь типа
213.png,Покемон типа ошибок и рок-тип
214.png,Покемон типа ошибок и боевой тип
215.png,Темный тип и ледяной покемон
216.png,Покемон нормального типа
217.png,Покемон нормального типа
218.png,Покемон огня
219.png,Покемон пожарной и рок-типа
220.png,Ледяной тип и покемон наземного типа
221.png,Ледяной тип и покемон наземного типа
222.png,Покемон типа воды и рок-типа
223.png,Покемон в воду
224.png,Покемон в воду
225.png,Покемон ледяного типа и летательный тип
226.png,Покемон типа воды и летания
227.png,Покемон из стали и летающего типа
228.png,Темный тип и покемон
229.png,Темный тип и покемон
230.png,Покемон типа воды и дракона
231.png,Покемон наземного типа
232.png,Покемон наземного типа
233.png,Покемон нормального типа
234.png,Покемон нормального типа
235.png,Покемон нормального типа
236.png,Покемон боевого типа
237.png,Покемон боевого типа
238.png,Ледяной и психический тип покемонов
239.png,Покемон электрического типа
240.png,Покемон огня
241.png,Покемон нормального типа
242.png,Покемон нормального типа
243.png,Покемон электрического типа
244.png,Покемон огня
245.png,Покемон в воду
246.png,Рок-тип и покемон наземного типа
247.png,Рок-тип и покемон наземного типа
248.png,Покемон рок-типа и темного типа
249.png,Покемон психического типа и летания
250.png,Покемон пожарного и летающего типа
251.png,Психический тип и покемон травы
252.png,Покемон трава
253.png,Покемон трава
254.png,Покемон трава
255.png,Покемон огня
256.png,Покемон пожарного и боевого типа
257.png,Покемон пожарного и боевого типа
258.png,Покемон в воду
259.png,Покемон типа воды и наземного типа
260.png,Покемон типа воды и наземного типа
261.png,Покемон темного типа
262.png,Покемон темного типа
263.png,Покемон нормального типа
264.png,Покемон нормального типа
265.png,Покемон типа ошибок
266.png,Покемон типа ошибок
267.png,Тип ошибки и Покемон
268.png,Покемон типа ошибок
269.png,Покемон типа ошибок и яда
270.png,Покемон типа воды и травы
271.png,Покемон типа воды и травы
272.png,Покемон типа воды и травы
273.png,Покемон трава
274.png,Покемон трава и темного типа
275.png,Покемон трава и темного типа
276.png,Покемон нормального типа и летания
277.png,Покемон нормального типа и летания
278.png,Покемон типа воды и летания
279.png,Покемон типа воды и летания
280.png,Психический тип и фея покемонов
281.png,Психический тип и фея покемонов
282.png,Психический тип и фея покемонов
283.png,Покемон типа ошибок и типа воды
284.png,Тип ошибки и Покемон
285.png,Покемон трава
286.png,Трава и боевой тип покемонов
287.png,Покемон нормального типа
288.png,Покемон нормального типа
289.png,Покемон нормального типа
290.png,Тип ошибки и покемон наземного типа
291.png,Тип ошибки и Покемон
292.png,Тип ошибки и Покемон призрака
293.png,Покемон нормального типа
294.png,Покемон нормального типа
295.png,Покемон нормального типа
296.png,Покемон боевого типа
297.png,Покемон боевого типа
298.png,Покемон нормального типа и фея
299.png,Покемон рок-типа
300.png,Покемон нормального типа
